start_time	query_s	lock_s	rows_ex	rows_sent	sql_text
18:41:37.656847	00.025833	00.025025	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.660522	00.000431	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.661095	00.000256	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.664318	00.032034	00.031303	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.664738	00.000293	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.664893	00.000154	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.668264	00.000388	00.000017	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.670132	00.000409	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.670539	00.000218	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.673487	00.000319	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.675712	00.000155	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.675712	00.000323	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.676703	00.041817	00.040918	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.679362	00.000354	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.681091	00.000318	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.681795	00.000238	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.681915	00.000203	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.684897	00.000384	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.686551	00.000397	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.686980	00.000248	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.687178	00.000177	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.689128	00.052627	00.051111	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.691249	00.000466	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.691916	00.000338	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.692358	00.000229	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.693243	00.000245	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.693993	00.000234	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.696835	00.000300	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.698941	00.000681	00.000024	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.699217	00.000181	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.699218	00.000246	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.700099	00.000267	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.704454	00.000544	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.704473	00.067892	00.065253	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.706053	00.000360	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.706154	00.000147	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.706516	00.000257	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.707444	00.000256	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.709440	00.000256	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.710871	00.000359	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.712404	00.000345	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.712842	00.000274	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.712866	00.000104	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.713944	00.000331	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.716193	00.078885	00.078252	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.716690	00.000262	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.719921	00.000360	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.720414	00.000231	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.722199	00.000349	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.723110	00.000297	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.724129	00.000811	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.727131	00.000702	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.729706	00.000949	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.730206	00.003756	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.733179	00.001162	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.737392	00.003124	00.000005	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.737393	00.004529	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.743458	00.000396	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.744935	00.000165	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.745023	00.107204	00.106414	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.745049	00.000860	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.745287	00.000720	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.748528	00.001697	00.000101	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.749217	00.003496	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.753842	00.000356	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.755249	00.000471	00.000005	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.755789	00.000299	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.756283	00.000236	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.756774	00.000437	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.756778	00.000165	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.757324	00.000219	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.758208	00.119414	00.118677	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.758807	00.001081	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.763789	00.000365	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.764480	00.000292	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.766559	00.000241	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.766559	00.000215	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.766569	00.001284	00.000005	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.767117	00.000188	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.768669	00.000209	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.768815	00.000129	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.768820	00.000645	00.000001	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.772294	00.000544	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.773133	00.000541	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.775218	00.000583	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.779301	00.140246	00.139765	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.780576	00.000401	00.000004	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.796659	00.157129	00.156468	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.806985	00.167391	00.166980	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.815301	00.175036	00.174389	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.823381	00.182907	00.182459	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.832365	00.191884	00.191639	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.840806	00.199987	00.199438	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.851120	00.210215	00.209475	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.859503	00.218245	00.218019	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.867991	00.226559	00.226118	1	0	UPDATE ticket  SET ticket_no='T20260920-3562A411', t
18:41:37.888234	00.000267	00.000003	1	1	SELECT id,ticket_no,title,content,category,priority,
18:41:37.894611	00.000241	00.000002	1	1	SELECT id,ticket_no,title,content,category,priority,
total_statements	updates	selects	commits	rollbacks
725	20	102	63	80
